000 created (guards idle)                  st=attract  t=   0 by=-1 | g1=idle/000 tgt=(0,0)           | g2=idle/000 tgt=(0,0)           | g3=idle/000 tgt=(0,0)          
001 start -> playing, guards patrol wp0    st=playing  t=   0 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(0,0)    
OP  get_current_state_name=Playing
002 pump x32 (0.5s: nobody arrives (FAR))  st=playing  t=  32 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(0,0)    
003 pump x1 (g1 arrives wp0 -> tgt wp1)    st=playing  t=  33 by=-1 | g1=patrolling/001 tgt=(64,0)    | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(0,0)    
004 pump x1 (g1 arrives wp1 -> tgt wp2)    st=playing  t=  34 by=-1 | g1=patrolling/001 tgt=(64,64)   | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(0,0)    
005 pump x1 (g1 arrives wp2 -> WRAP tgt wp0) st=playing  t=  35 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(0,0)    
006 g1+g2 hear_sound -> investigating      st=playing  t=  35 by=-1 | g1=investigating/100 tgt=(0,0)  | g2=investigating/100 tgt=(0,0)  | g3=patrolling/001 tgt=(0,0)    
007 pump x95 (1.484s: both still investigating) st=playing  t= 130 by=-1 | g1=investigating/100 tgt=(0,0)  | g2=investigating/100 tgt=(0,0)  | g3=patrolling/001 tgt=(0,0)    
008 pump x1 (tick 96 = 1.5s: both pop$ -> patrol) st=playing  t= 131 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=patrolling/001 tgt=(0,0)    
009 g3 spotted (patrolling->alerted)       st=playing  t= 131 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=alerted/111 tgt=(0,0)       
010 g3 hear_sound while alerted: NO-OP     st=playing  t= 131 by=-1 | g1=patrolling/001 tgt=(0,0)     | g2=patrolling/001 tgt=(0,0)     | g3=alerted/111 tgt=(0,0)       
